,CN,JC,AA,LRW,ILRW,SRW,ISRW
0.1,0.8749426868408987,0.875,0.8749713434204494,0.6248138501612316,0.6247346594680072,0.6248138501612316,0.6247346594680072
0.2,0.9374713434204494,0.9375,0.9374856717102247,0.6874069250806158,0.6873673297340036,0.6874069250806158,0.6873673297340036
0.3,0.9477771662254376,0.9478733240869163,0.9478974827890942,0.7600764092213294,0.7495273971286425,0.7600191747890949,0.7495273971286425
0.4,0.9607738036232338,0.9608566903735748,0.9608801714657974,0.8199820907093134,0.811876884854737,0.8199391648851375,0.811876884854737
0.5,0.9435158788212851,0.9435263668877193,0.9436009730953359,0.830891129179804,0.8244068934465026,0.8308567885204633,0.8244068934465026
0.6,0.9529298990177376,0.9529386390730994,0.9530008109127799,0.85907594098317,0.8536724112054189,0.8590473237670527,0.8536724112054189
0.7,0.941778646875292,0.9417984113017337,0.9418578379252399,0.8612035436796466,0.8563038870605565,0.8611790146372604,0.8563100235357651
0.8,0.9450719352442488,0.9450811564453226,0.9451466190623666,0.8744825313064221,0.8662782577984095,0.8744610683943342,0.866283627214217
0.9,0.9442210437555245,0.9442388057291756,0.9442874293716292,0.881460558896189,0.8741487406325623,0.881441480752111,0.8741535134466134
1.0,0.9486834139948603,0.9488243411558689,0.9487690580168561,0.8937944044022246,0.8867485930346832,0.8937668573922275,0.8867316053165211
